Record,Plot_ID,Temporal_replicate,site,Treatment,Picea_abies,Abies_alba,Larix_decidua,Fagus_sylvatica,Sorbus_aria,Sorbus_aucuparia,Acer_pseudoplatanus,Acer_campestris,Corylus_avellana,Tilia_cordata,Prunus_avium,Castanea_sativa,Fraxinus_excelsior,Laburnum,Acer_sd,Daphne_laureola,Rosa_cfr,Arbusto_Rosa,Ilex_aquifolium,Milium_effusum,Dactylis_glomerata,Luzula_nivea,Arrhenatherum_elatius,Brachypodium_pinnatum,Briza_media,Agrostis_sp,Luzula_campestris,Molinia_caerulea,Poa_pratensis,Carex_sp,Poa_sp,Phleum_sp,Geranium_nodosum,Geranium_robertianum,Stellaria_nemorum,Mycelis_muralis,Urtica_dioica,Rubus_saxatilis,Rubus_sp,Oxalis_acetosella,Alliaria_petiolata,Hedera_hellix,Potentilla_sp_tipofragola,Ranunculus_platanifolius,Anemonoides_nemorosa,Veratrum_album,Galium_odoratum,Adoxa_moschatellina,Geum_sp,Asperula_taurina,Ranunculus_acris,Arum_sp,Polygonatum_sp,Senecio_nemorensis,Thymus_sp,Achillea_millefolium,Cruciata_glabra,Stellaria_graminea,Phyteuma_scheuchzeri,Knautia_sp,Lathyrus_pratensis,Hippocrepis_comosa,Betonica_officinalis,Galium_lucidum,Veronica_chamaedrys,Alchemilla_foglia,Potentilla_erecta,Hypericum_sp,Carduus_sp,Sanguisorba_officinalis,Lotus_sp,Clematis_sp_sd,Plantago_sp,Vicia_sepium,Teucrium_sp,Viola_sp,Viola_reichenbachiana,Trifolium_pratense,Trifolium_repens,Rumex_acetosa,Centaurea_jacea,Pimpinella_sp,Astrantia_minor,Foglie_Asteraceae,Helleborus viridis,Erythronium_dens_canis,Vinca minor,Luzula_multiflora,Primula_vulgaris,Hepatica_nobilis,Scilla_bifolia,Cardamine_heptafilla,Poligonatum_odoratum,Luzula_sp,Galium_sp,Brachipodium_sylvaticum,Clematis_vitalba,Hieracium_sp,Euphorbia_dulcis,Convolvolus_sp,Leguminosa_cfr,Poacea_cfr,Ostrya_Carpinifolia,Cardamine_sp,Crocus_sp,Prunus_avium_ya,Cytisus_insubricus,Clinopodium_menthifolium,Cornus_sp,Digitalis_lutea,Melica_sp,Taraxacum_sp,Symphytum_tuberosum,Stellaria_sp,Lathyrus_sp,Potentilla_sp,Narcissus_poeticus,Senecio_sp,Salvia_glutinosa,Erigeron_sp,Ornithogalum_pyrenaicum,Tanacetum_sp,Cardamine_bulbifera,Geranium_sp,Acer_pseudoplatanus_ya,Robinia_pseudoacacia_ya,Primula_sp,Veronica_persica,Angelica_sp,Prenanthes_sp,Aristolochia,Lilium_sp,Cornus_sp,Cyclamen_purpureum,Robinia_pseudoacacia_sd,Robinia_pseudoacacia_ad,Melica_nutans,Prunus_laurocerasus,Festuca_sp,Viola_hirta,Cruciata_glabra,Aquilegia_sp,Crocus_versicolor,Ajuga_sp,Leontodon_sp,Euphrasia_sp,Cirsium_vulgare,Salvia_pratensis,Hieracium_pilosella_cfr,Rhinanthus_alectoprolophus,Leucanthemum_sp,Liliacea_cfr,Pseudoturritis_sp,Bromus_erectus,Festuca_sp,Lonicera_sp,Anthoxanthum_odoratum,Cynosurus_cristatus,Polygala_comosa,Felce_Dryopteris_cfr,Muschio_Polytrichum_cfr,Muschi
1_BIS_PR1,BIS_PR1,1,bis,gp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1_BIS_PR2,BIS_PR2,1,bis,gp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
1_BIS_PR3,BIS_PR3,1,bis,gp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1_BIS_PR4,BIS_PR4,1,bis,gp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
1_BIS_PR5,BIS_PR5,1,bis,gp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1_BIS_BM1,BIS_BM1,1,bis,mf,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1_BIS_BM2,BIS_BM2,1,bis,mf,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1_BIS_BM3,BIS_BM3,1,bis,mf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
1_BIS_BM4,BIS_BM4,1,bis,mf,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1_BIS_BM5,BIS_BM5,1,bis,mf,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1_BIS_AR1,BIS_AR1,1,bis,sm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_BIS_AR2,BIS_AR2,1,bis,sm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1_BIS_AR3,BIS_AR3,1,bis,sm,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
